personId,中文名,职业,出生日期,外文名,国籍,出生地,代表作品,星座,主要成就,身高,:LABEL
p1,尼可莱塔·布拉斯基,演员，制片,1960年8月10日,Nicoletta Braschi,意大利,意大利 艾米利亚,《不法之徒》《美丽人生》《木偶奇遇记》《老虎与雪》,狮子座,1997年主演电影Ovosodo，赢得了意大利大卫奖。,null,actor
p2,菲利浦·诺瓦雷,演员，编剧,1930年10月1日,Philippe Noiret,法国,法国，诺德，里尔,《老枪》《只是人生》《天堂电影院》等,天秤座,第44届英国电影学院奖电影奖-最佳男主角,null,actor
p3,玛德琳·卡罗尔,演员、模特,1996年3月18日,Madeline Carroll,美国,美国加利福尼亚州洛杉矶市,《怦然心动》，《关键投票》，《圣诞老人3》,双鱼座,2009年获得青年艺术家奖故事片最佳年轻女主角的提名,160cm,actor
p4,斯蒂芬·瑞,演员,1946年10月31日,Stephen Rea,英国,英国北爱尔兰贝尔法斯特,《V字仇杀队》、《黑夜传说4》,天蝎座,第65届奥斯卡金像奖最佳男主角提名,179cm,actor
p5,乔治·坎塔里尼,演员,1992-4-12,Giorgio Cantarini,意大利,"意大利,翁布里亚,特尔尼,奥尔维托",美丽人生 La vita è bella (1997)《角斗士》,白羊座,null,null,actor
p6,富润生,配音演员,1925年,null,中国,河北省大兴,《基度山伯爵》中的法老、《巴黎圣母院》,null,为200余部外国影片及电视片配音,null,actor
p7,Philippe Labro,"编剧,导演,演员",null,Philippe Labro,null,null,null,null,null,null,actor
p8,阿伦·伊克哈特,null,1968年3月12日,Aaron Eckhart,美国,null,null,null,null,null,actor
p9,艾德里安·布洛迪,演员、制片人,1973年4月14日,Adrien Brody,美国,纽约州纽约市,钢琴家、神秘村、灵幻夹克、金刚、大吉利公司、天将雄狮,白羊座,第75届奥斯卡金像奖最佳男主角奖、第28届凯撒奖最佳男演员奖、第60届金球奖电影类-剧情类最佳男演员奖、第16届华鼎奖最佳男配角奖,186厘米,actor
p10,保罗·沃克,null,null,null,null,新泽西小镇凯普梅,null,null,null,null,actor
p11,米歇尔·罗德里格兹,演员,1978年07月12日,Michelle Rodriguez,美国,美国德克萨斯州贝克萨尔,《阿凡达》、《生化危机1》、《LOST第二季》、《速度与激情》系列,巨蟹座,null,163cm,actor
p12,美轮明宏,创作歌手、演员,1935年5月15日,みわ あきひろ、Miwa Akihiro,日本,日本长崎,花子与安妮,金牛座,2014年第3度入选，并以79岁的年龄，打破了藤山一郎的纪录,null,actor
p13,马里奥·毛瑞尔,平面模特、演员、歌手,1988年12月4日,Mario Maurer、มาริโอ้ เมาเร่อ,泰国,泰国曼谷,初恋这件小事、暹罗之恋、鬼夫、骄傲的火焰,射手座,Starpics泰国电影节最佳男主角 、The great awards 年度最佳电影男演员、Nine entertain awards年度最佳男演员,182CM,actor
p14,Forest,游戏玩家,null,forest,null,null,null,null,null,null,actor
p15,詹姆斯·伍兹,演员,1947年4月18,James Woods,美国,Vernal Utah,《突破炼狱》、《等待黑色黎明》、《美国往事》,白羊座,两次获得奥斯卡奖提名、第44届美国电影电视金球奖电视类-迷你剧/电视电影最佳男主角奖,183cm,actor
