:START_ID,:END_ID,:TYPE
p102,mv1,ACTED_IN
p37,mv1,ACTED_IN
p216,mv1,ACTED_IN
p24,mv2,ACTED_IN
p57,mv2,ACTED_IN
p111,mv2,ACTED_IN
p38,mv3,ACTED_IN
p89,mv3,ACTED_IN
p23,mv3,ACTED_IN
p133,mv4,ACTED_IN
p60,mv4,ACTED_IN
p151,mv4,ACTED_IN
p110,mv5,ACTED_IN
p215,mv5,ACTED_IN
p48,mv5,ACTED_IN
p143,mv6,ACTED_IN
p216,mv6,ACTED_IN
p227,mv6,ACTED_IN
p150,mv7,ACTED_IN
p122,mv7,ACTED_IN
p213,mv7,ACTED_IN
p150,mv8,ACTED_IN
p35,mv8,ACTED_IN
p219,mv8,ACTED_IN
p222,mv9,ACTED_IN
p225,mv9,ACTED_IN
p217,mv9,ACTED_IN
p64,mv10,ACTED_IN
p107,mv10,ACTED_IN
p28,mv10,ACTED_IN
p143,mv11,ACTED_IN
p81,mv11,ACTED_IN
p50,mv11,ACTED_IN
p21,mv12,ACTED_IN
p203,mv12,ACTED_IN
p6,mv12,ACTED_IN
p90,mv13,ACTED_IN
p40,mv13,ACTED_IN
p177,mv13,ACTED_IN
p102,mv14,ACTED_IN
p180,mv14,ACTED_IN
p47,mv14,ACTED_IN
p199,mv15,ACTED_IN
p66,mv15,ACTED_IN
p159,mv15,ACTED_IN
p229,mv16,ACTED_IN
p1,mv16,ACTED_IN
p5,mv16,ACTED_IN
p99,mv17,ACTED_IN
p59,mv17,ACTED_IN
p178,mv17,ACTED_IN
p161,mv18,ACTED_IN
p30,mv18,ACTED_IN
p149,mv18,ACTED_IN
p120,mv19,ACTED_IN
p182,mv19,ACTED_IN
p115,mv19,ACTED_IN
p58,mv20,ACTED_IN
p88,mv20,ACTED_IN
p49,mv20,ACTED_IN
p16,mv21,ACTED_IN
p61,mv21,ACTED_IN
p8,mv21,ACTED_IN
p44,mv22,ACTED_IN
p41,mv22,ACTED_IN
p104,mv22,ACTED_IN
p199,mv23,ACTED_IN
p224,mv23,ACTED_IN
p152,mv23,ACTED_IN
p102,mv24,ACTED_IN
p180,mv24,ACTED_IN
p138,mv24,ACTED_IN
p196,mv25,ACTED_IN
p180,mv25,ACTED_IN
p77,mv25,ACTED_IN
p25,mv26,ACTED_IN
p95,mv26,ACTED_IN
p134,mv26,ACTED_IN
p96,mv27,ACTED_IN
p195,mv27,ACTED_IN
p175,mv27,ACTED_IN
p120,mv28,ACTED_IN
p182,mv28,ACTED_IN
p115,mv28,ACTED_IN
p120,mv29,ACTED_IN
p182,mv29,ACTED_IN
p115,mv29,ACTED_IN
p78,mv30,ACTED_IN
p140,mv30,ACTED_IN
p2,mv31,ACTED_IN
p179,mv31,ACTED_IN
p20,mv32,ACTED_IN
p216,mv32,ACTED_IN
p26,mv32,ACTED_IN
p226,mv33,ACTED_IN
p183,mv33,ACTED_IN
